Video,Video title,Video publish time,Views,Watch time (hours),Subscribers,Your estimated revenue (USD),Impressions,Impressions click-through rate (%)
nIiOwNb7KR4,Themeable Layouts with Sass & 11ty ft. Stephanie Eckles - Colbyashi Maru,"Feb 11, 2021",43,7.631,0,0,731,1.64
7KeZcRMltP0,How to Use Tailwind CSS in React & HTML - Tailwind CSS Styling Tutorial,"May 19, 2020",42,1.5761,0,0,269,1.86
ikVtaK9JmUw,Top 5 Code Tasks You Should Automate on Your Projects,"Feb 12, 2021",39,1.4765,0,0,515,3.11
znLn9bVLB8E,"Manage Subscriptions with Gatsby, Netlify, Stripe, & Hasura - Part 1 - Colbyashi Maru","Feb 25, 2021",35,2.7884,1,0,712,2.25
OIWVJj9yRbA,Top 7 VS Code Extensions I Used in 2020,"Dec 23, 2020",33,1.6371,1,0,239,2.51
1lDGDzmbQWg,Host a Website on S3 - AWS Tutorial with CloudFront,"Mar 11, 2020",30,1.1756,0,0,153,9.8
3dF4t56LHhs,Visual Regression Testing Tutorial with Applitools Eyes and Cypress,"Dec 9, 2020",29,2.0954,0,0,424,3.3
Ef0gPGUh9oo,Create GitHub Actions with Node.js - Custom JavaScript GitHub Action Tutorial,"Feb 5, 2021",27,1.5614,1,0,423,1.42
KRNiqCLlPNQ,How to Add an Image to Github for a Project's Social Media Preview,"Mar 3, 2020",25,0.2895,0,0,45,8.89
KXBf5l4rbL4,Save & Organize Icons and SVG Files with Iconset,"Sep 7, 2020",24,0.7081,1,0,95,8.42
MsrNdjp0aKI,How to Create a Table of Contents in Ghost CMS for Your Blog Post or Article on FreeCodeCamp.org,"Feb 25, 2020",20,0.3333,0,0,31,6.45
eQGevb1TuyQ,Headless WordPress with Next.js ft. Kevin Cunningham - Colbyashi Maru,"Jan 14, 2021",20,1.7234,0,0,561,1.96
Q0xVnRanXVk,Custom Hooks in React.js - Create & Publish a React Hook to NPM Tutorial,"Apr 14, 2020",19,0.5105,0,0,72,5.56
isbr52VKjb0,Map Data from a GraphQL API in Gatsby - GraphCMS Data Sourcing Tutorial,"Jun 23, 2020",18,0.7018,0,0,140,5.71
9bfxeod27fU,Data Fetching in Gatsby - Coronavirus Mapping App with Disease.sh REST API Tutorial,"Apr 22, 2020",17,0.4913,0,0,96,6.25
mTsld21vJ_o,Build a Santa Tracker with Next.js and Leaflet - STREAM,"Dec 18, 2020",16,0.3354,0,0,254,1.97
P8wv4ylc_-s,How to add Google Analytics to a YouTube Channel for Video Tracking and Metrics,"Mar 18, 2020",14,0.2727,0,0,44,0
12oAIHHEJMw,Automate Tasks with Zapier - Workflow Automation Tutorial,"Jul 23, 2020",13,0.4129,0,0,106,3.77
FkO8uggDEXY,How to Create a Mapping App in React: Summer Road Trip with Gatsby and React Leaflet,"Mar 24, 2020",13,0.2494,0,0,117,4.27
KHG0fdKCQeo,Destructuring Assignment in JavaScript: Destructure Objects & Arrays - Jelly Drop,"Jan 12, 2021",12,0.4002,0,0,235,1.28
pj0RLsES9EI,Template Literals in JavaScript: Backticks in Strings for Interpolation - Jelly Drop,"Jan 21, 2021",11,0.4527,0,0,268,1.87
3gL8ZMlkwAg,"Spread Operator in JavaScript: 3 Dots Syntax with Objects, Arrays, & Functions - Jelly Drop","Feb 8, 2021",7,0.5035,0,0,344,1.45
uc2OVhKr5mM,Serverless Guestbook with Cloudflare Workers ft. Kristian Freeman - Colbyashi Maru,"Jan 27, 2021",7,1.0114,0,0,307,0.65
OzttcyBPLKU,Top 5 Videos for Developers in 2020 on My Channel,"Dec 16, 2020",5,0.115,0,0,132,1.52
l3v_owhhJLw,Optional Chaining in JavaScript: Chain with Question Mark Operator - Jelly Drop,"Jan 27, 2021",5,0.1403,0,0,271,0.74
Bei0Cvu7D7I,Next.js Visual Regression Testing with Applitools and Cypress  - STREAM,"Dec 3, 2020",4,0.4168,0,0,125,0.8
pQ_5PGv0YTA,Creating Impactful Mapping Apps with Real-World Data,"Mar 5, 2020",3,0.0532,0,0,41,4.88
yomGOIh8pso,WordPress in a Headless World - WordCamp Philly 2020,"Nov 19, 2020",3,0.3091,0,0,114,1.75
tygP8rFILY8,blink-182 Power Hour :: Part 1,"Mar 13, 2009",1,0.0119,,0,1,0
RAnCFEiznto,blink-182 Power Hour :: Part 5,"Mar 13, 2009",,,,0,1,0
e4gamcRIPd8,blink-182 Power Hour :: Part 4,"Mar 13, 2009",,,,0,1,0
ebKwArFJOOU,blink-182 Power Hour :: Part 2,"Mar 13, 2009",,,,0,1,0
frYRx0UR0sY,Q&A Course Launch #eggheadChat AMA,"Dec 18, 2020",,,,0,148,0
vxaeDkw7_VE,blink-182 Power Hour :: Part 3,"Mar 13, 2009",,,,0,1,0
